rectangle_code,lat,lon
20C5,37.1928165,-7.4144181
21C6,37.5153222255775,-8.79653230294543
21D7,42.3474796,-8.6227107
21D8,42.5307071,-9.0115454
22D6,38.4803525538975,-8.98209706809348
22D7,43.6428083,-8.0518693
22D8,43.3114540267702,-8.90681065174534
22L4,53.9793024366035,14.5709841721693
22L5,54.1740460583626,15.5120479799904
22L6,54.358588,16.3367619
22L7,54.7606899532545,17.4440746496316
22L8,54.4336612,18.588064
22M3,55.4430606,10.4715275
22M4,55.2083194,11.5060327
22M5,55.2902693,12.4650171
23D6,38.9830752477829,-8.98098627881172
23E0,43.5611433,-7.2710669
23E1,43.7283389,-7.5020239
23L4,55.0891788,14.6995549
23L5,55.0182949,15.1132422
23M4,55.8415388,11.4775497
23M5,55.7348235903372,12.588883359067
23N5,56.1838099498661,15.5189847833843
24D7,40.7555606,-8.5726619
24E0,43.5474714,-6.5101212
24E1,43.5753848,-6.4691056
24E2,43.7283389,-7.5020239
24M2,55.5490583,8.0952255
24N3,57.2122951149673,9.52294015595523
24N4,57.2180726222269,10.5128624599162
24N5,56.2088891,15.5864364
24O3,57.6996931,11.6115015
24Q5,59.775865,21.3813583
25C8,52.6197372938712,-9.01460793690461
25D7,41.7219913,-8.6961564
25D8,53.1184757,-9.0728654
25D9,53.1376,-9.8114314
25E0,43.5065372,-5.4139298
25E1,43.5589961564888,-5.4941336416545
25J7,51.5124211814738,0.497966238199848
25J8,51.38288,1.4482528
25K7,51.7200382,0.6985783
25K8,52.0351423,1.4638778
25L7,52.768378,0.3845321
25L8,52.4155948,1.7292587
25M2,55.5639102,8.0940048
25M7,52.9552676,0.5202743
25M8,52.8709777295131,1.43990944797604
25N4,57.7311471964598,10.5076056642803
25N5,57.2446281019807,16.4931301898327
25N7,53.6776798,-0.5299373
25O3,58.2507390802264,11.5012188203608
25O6,54.2424991,-0.3627824
25P1,58.5486514,5.6462508
25P2,58.2615253901475,6.50361376699623
25Q5,59.8185896,21.5680445
25Q6,59.8587045428641,22.469435876771
26C7,52.0469706760041,-10.017131601761
26C8,51.5959333,-8.8538712
26D6,40.2072513543063,-8.90546061948737
26D8,53.2752216969136,-9.01933593832846
26D9,53.4815128,-10.0120743
26E0,43.3836124,-4.4816788
26E1,43.4033848755703,-4.52236430527641
26M2,56.1194522,8.1064559
26N5,57.3527693,17.1040145
26O3,58.9914005,11.4375106
26O6,54.461005,-0.5346574
26P1,58.7418392001695,5.49300024812511
26P2,59.025635872861,6.45601061130449
26P5,55.0423038,-1.4383032
26Q5,60.2469358515003,22.5001059812698
26Q6,60.0713488620722,23.5316318762073
26R0,51.7314314,-5.3102921
26R1,51.5619571,-4.2951554
26R2,51.3966029550216,-3.50591276368444
26R3,53.2944197,-3.5623266
26S0,52.1782087,-6.579742
26S1,51.7314314,-5.3102921
